dataset,device,dtheta_common,dtheta_diff,frozen_max_frac,frozen_tail,frozen_tail_start,heading_common,mount_diff,n_snapshots,platform,r0_bias,r0_circstd_corr,r0_circstd_raw,r0_coverage_bins,r0_drift_span,r0_dtheta,r0_g,r0_g_at_bound,r0_low_coverage,r0_n_valid,r0_nan_frac,r0_offset_c,r0_outlier_frac,r0_structure,r1_bias,r1_circstd_corr,r1_circstd_raw,r1_coverage_bins,r1_drift_span,r1_dtheta,r1_g,r1_g_at_bound,r1_low_coverage,r1_n_valid,r1_nan_frac,r1_offset_c,r1_outlier_frac,r1_structure,range_med_m,reasons,rx_lo,rx_speed_p99,scan_v,status,ts_med_dt,ts_nonmono_frac,wavelength_spacing
feb7_mission1_rover1,PLUTO,0.05,0.05,0.0,False,,0.05,0.05,3000,rover,-0.5532261729240417,0.9431334357266747,0.9595144015250677,4,0.5523187071084976,0.10000000000000087,1.04,False,False,184,0.9386666666666666,-0.519853949546814,0.125,0.20863558850108924,0.08642102032899857,0.9814445229901986,0.9814445229901986,2,0.4088783413171768,0.0,1.0,False,True,68,0.9773333333333334,0.08642102032899857,0.11764705882352941,nan,28.933006286621094,QUAR:no_signal;FLAG:r0_noisy;FLAG:r1_noisy;INFO:low_coverage,2467099904.0,1.8470286178588864,2,QUARANTINE,0.485595703125,0.00033344448149383126,0.41764
feb7_mission1_rover3,PLUTO,-0.28,0.06,0.0,False,,-0.28,0.06,3000,rover,-0.3315016031265259,0.5135607000799671,0.6603690035936055,6,0.11957815662026405,-0.21999999999999942,1.1,True,False,493,0.8356666666666667,-0.1014443039894104,0.15212981744421908,0.21592132628776414,-0.3691833019256592,0.4862648796413406,0.8631152170277371,9,0.34905382990837097,-0.3399999999999995,1.08,False,False,527,0.8243333333333334,-0.1252136379480362,0.29601518026565465,0.13576082117330188,13.11463737487793,FLAG:heading=-0.28;FLAG:fit_at_bound,2467099904.0,0.13508816897869108,2,FLAG,0.486572265625,0.00033344448149383126,0.41764
feb8_mission1_rover1,PLUTO,0.0,0.0,0.00033344448149383126,False,,0.0,0.0,3000,rover,-0.6654991507530212,0.98575930670288,0.98575930670288,3,0.44416632503271103,0.0,1.0,False,True,128,0.9573333333333334,-0.6654991507530212,0.171875,nan,-0.34284454584121704,1.3802247916146027,1.3802247916146027,2,0.16950389742851257,0.0,1.0,False,True,123,0.959,-0.34284454584121704,0.13008130081300814,nan,29.732372283935547,QUAR:no_signal;FLAG:r0_noisy;FLAG:r1_noisy;INFO:low_coverage,2467099904.0,2.1582639455795287,2,QUARANTINE,0.48443603515625,0.0,0.41764
feb8_mission1_rover3,PLUTO,-0.29,0.05,0.00033344448149383126,False,,-0.29,0.05,3000,rover,-0.10646577924489975,0.51021150111623,0.7320975844577998,8,0.14036069065332413,-0.23999999999999944,1.1,True,False,953,0.6823333333333333,0.009526596404612064,0.18992654774396642,0.3221731573250079,-0.19688710570335388,0.49592441762724715,0.9678204291181777,11,0.07507351785898209,-0.3399999999999995,1.1,True,False,1246,0.5846666666666667,-0.1762545108795166,0.36918138041733545,0.27189877050806854,12.785045623779297,FLAG:heading=-0.29;FLAG:fit_at_bound,0.0,0.1536260351538658,2,FLAG,0.4881591796875,0.0,0.41764
dec27_mission3_rover1,PLUTO,-0.15,-0.01,0.0005002501250625312,False,,-0.15,-0.01,2000,rover,-0.14049173891544342,0.5209769019298616,0.6048858790309135,8,0.3663475215435028,-0.15999999999999936,0.9600000000000001,False,False,265,0.8674999999999999,-0.0996507853269577,0.09056603773584905,0.3100768273049185,-0.04736808314919472,0.3685652674221285,0.4703539744495004,10,0.12472179159522057,-0.13999999999999935,1.06,False,False,813,0.5935,-0.005419515073299408,0.03198031980319803,0.1504655697526501,13.21716594696045,,2467000064.0,0.3898836421966553,2,OK,0.4915771484375,0.0010005002501250625,0.41762
dec28_mission1_rover1,PLUTO,-0.13,-0.13,0.0005002501250625312,False,,-0.13,-0.13,2000,rover,-0.21164728701114655,0.47536573070583954,0.6937368305777758,12,0.05662381649017334,-0.25999999999999945,0.9600000000000001,False,False,591,0.7045,-0.11724121123552322,0.11844331641285956,0.22762164720219408,-0.0022831608075648546,0.5199339890304754,0.5199339890304754,3,0.2070665881037712,0.0,1.0,False,True,196,0.902,-0.0022831608075648546,0.05102040816326531,nan,13.275365829467773,QUAR:no_signal;INFO:low_coverage,2467000064.0,0.4516145223379135,2,QUARANTINE,0.4814453125,0.0010005002501250625,0.41762
dec28_mission2_rover1,PLUTO,-0.07,-0.07,0.0005002501250625312,False,,-0.07,-0.07,2000,rover,-0.3061996102333069,0.46739136576049445,0.5261553336235939,12,0.10439624264836311,-0.13999999999999935,1.0,False,False,1049,0.47550000000000003,-0.15998829901218414,0.08484270734032412,0.29811031948998884,0.2930234372615814,0.5567695066925696,0.5567695066925696,2,0.23877184838056564,0.0,1.0,False,True,146,0.927,0.2930234372615814,0.06164383561643835,nan,12.99755859375,QUAR:no_signal;INFO:low_coverage,0.0,0.2935012662410736,2,QUARANTINE,0.478515625,0.0,0.41762
dec28_mission3_rover1,PLUTO,-0.15,0.01,0.0005002501250625312,False,,-0.15,0.01,2000,rover,-0.25917044281959534,0.4590260750515679,0.5140920160974015,12,0.13122257217764854,-0.13999999999999935,0.9800000000000001,False,False,715,0.6425000000000001,-0.1528046578168869,0.05314685314685315,0.235696176077001,0.10720910131931305,0.4803335573374358,0.5475420562059219,12,0.17881733551621437,-0.15999999999999936,0.9800000000000001,False,False,645,0.6775,0.1298750936985016,0.04806201550387597,0.25667848446688,13.192724227905273,,2467000064.0,0.4865566641092298,2,OK,0.48773193359375,0.0,0.41762
dec18_mission1_rover1,PLUTO,0.22,-0.2,0.0,False,,0.22,-0.2,1981,rover,-0.7123223543167114,1.61687639717835,1.6601479922818525,10,0.4273063987493515,0.020000000000000795,0.9,True,False,663,0.6653205451792024,-0.6660621166229248,0.530920060331825,0.6485296437498786,1.5226672887802124,0.10322540914713585,0.10617959252715942,9,3.80548632144928,0.42000000000000115,0.9,True,False,386,0.8051489146895507,0.4742678105831146,0.6683937823834197,1.6483943838842265,0.023966845124959946,FLAG:r0_noisy;FLAG:fit_at_bound,2467000064.0,0.0003101841494208211,2,FLAG,0.488616943359375,0.0,0.41762
dec18_mission2_rover1,PLUTO,-0.27,-0.05,0.0005002501250625312,False,,-0.27,-0.05,2000,rover,-0.3518925905227661,1.1044434014700715,1.2852602281799725,6,0.6895091831684113,-0.3199999999999995,0.92,False,False,223,0.8885,-0.48685306310653687,0.4304932735426009,0.3426150136094509,-0.8167534470558167,0.04490797719341579,0.049481185079279996,11,0.322771817445755,-0.21999999999999942,1.1,True,False,590,0.7050000000000001,-0.39480018615722656,0.48983050847457626,0.41410059282572687,0.026245497167110443,FLAG:heading=-0.27;FLAG:r0_noisy;FLAG:fit_at_bound,2467000064.0,0.00010536647896515205,2,FLAG,0.48553466796875,0.0005002501250625312,0.41762
