dataset,device,dtheta_common,dtheta_diff,frozen_max_frac,frozen_tail,frozen_tail_start,heading_common,mount_diff,n_snapshots,platform,r0_bias,r0_circstd_corr,r0_circstd_raw,r0_coverage_bins,r0_drift_span,r0_dtheta,r0_g,r0_g_at_bound,r0_low_coverage,r0_n_valid,r0_nan_frac,r0_offset_c,r0_outlier_frac,r0_structure,r1_bias,r1_circstd_corr,r1_circstd_raw,r1_coverage_bins,r1_drift_span,r1_dtheta,r1_g,r1_g_at_bound,r1_low_coverage,r1_n_valid,r1_nan_frac,r1_offset_c,r1_outlier_frac,r1_structure,range_med_m,reasons,rx_lo,rx_speed_p99,scan_v,status,ts_med_dt,ts_nonmono_frac,wavelength_spacing
dec23_mission1_rover1,PLUTO,-0.25,-0.03,0.0005002501250625312,False,,-0.25,-0.03,2000,rover,-0.22412711381912231,0.5802881136912572,0.8116098075653893,4,0.35476526618003845,-0.27999999999999947,1.04,False,False,206,0.897,-0.22575333714485168,0.21844660194174756,0.3290728354960432,-0.3057989478111267,0.6602515654063273,0.7739148063964546,12,0.2291671633720398,-0.21999999999999942,1.02,False,False,867,0.5665,-0.33850574493408203,0.1776239907727797,0.23812932844471546,13.069770812988281,,2467000064.0,0.24810968399047842,2,OK,0.4873046875,0.0010005002501250625,0.41762
dec25_mission1_rover1,PLUTO,-0.04,-0.02,0.0005002501250625312,False,,-0.04,-0.02,2000,rover,-0.03325460106134415,0.4801810884366674,0.49333159367742185,11,0.057669817470014095,-0.059999999999999276,1.0,False,False,543,0.7284999999999999,-0.014864768832921982,0.03314917127071823,0.22034967305988953,-0.11935453861951828,0.39823583099246346,0.41982534319240555,10,0.13327006995677948,-0.01999999999999924,1.08,False,False,810,0.595,-0.059365421533584595,0.025925925925925925,0.19010013733414785,13.220405578613281,,2467000064.0,0.19226631134748456,2,OK,0.491607666015625,0.0005002501250625312,0.41762
feb16_mission3_rover1,PLUTO,-0.14,0.12,0.00033344448149383126,False,,-0.14,0.12,3000,rover,-0.5962421894073486,0.8800741616340586,0.9438212904624639,6,0.12399763986468315,-0.01999999999999924,0.9,True,False,2031,0.32299999999999995,-1.0781654119491577,0.2328902018709995,0.4455040549719397,0.24061192572116852,1.1583404202324492,1.2791014543906944,6,0.4459702670574188,-0.25999999999999945,1.1,True,False,1523,0.4923333333333333,-0.9475559592247009,0.40971766250820746,0.46922932333364653,29.512123107910156,FLAG:r0_noisy;FLAG:r1_noisy;FLAG:fit_at_bound,5865999872.0,2.2098056840896607,2,FLAG,0.4897003173828125,0.0,0.99302
feb16_mission3_rover3,PLUTO,-0.14,0.0,0.00033344448149383126,False,,-0.14,0.0,3000,rover,-0.606863260269165,0.5442689107711882,0.774197291934284,9,0.16715265065431595,-0.13999999999999935,0.9800000000000001,False,False,383,0.8723333333333333,-0.40703681111335754,0.20887728459530025,0.31784711713576586,0.023254575207829475,0.47554526654493645,0.8498427147358394,9,0.30370569229125977,-0.13999999999999935,1.04,False,False,495,0.835,0.1818760335445404,0.24848484848484848,0.3037320334200259,13.398782730102539,,5865999872.0,0.1117253904044628,2,OK,0.48920440673828125,0.0,0.99302
feb5_mission1_rover1,PLUTO,0.0,0.0,0.00033344448149383126,False,,0.0,0.0,3000,rover,-0.47748857736587524,0.9173272671369574,0.9173272671369574,2,0.3290039375424385,0.0,1.0,False,True,96,0.968,-0.47748857736587524,0.20833333333333334,nan,0.12965744733810425,1.0002500698220196,1.0002500698220196,1,1.627472162246704,0.0,1.0,False,True,144,0.952,0.12965744733810425,0.2708333333333333,nan,27.79193115234375,QUAR:no_signal;FLAG:r0_noisy;FLAG:r1_noisy;INFO:low_coverage,0.0,2.465172934532165,2,QUARANTINE,0.484405517578125,0.0,0.41764
feb5_mission1_rover3,PLUTO,-0.33,0.01,0.00033344448149383126,False,,-0.33,0.01,3000,rover,-0.10425177216529846,0.4714043012761446,0.8405522751105079,9,0.2020755633711815,-0.3199999999999995,1.1,True,False,915,0.6950000000000001,-0.0503457635641098,0.26229508196721313,0.26890042647227663,-0.23031872510910034,0.5603456302088142,0.9881300377038736,11,0.14999788627028465,-0.3399999999999995,1.1,True,False,1212,0.596,-0.10522766411304474,0.33003300330033003,0.31897641037988683,12.615606307983398,FLAG:heading=-0.33;FLAG:fit_at_bound,2467099904.0,0.12888660252094267,2,FLAG,0.484130859375,0.0006668889629876625,0.41764
dec26_mission1_rover1,PLUTO,-0.16,-0.04,0.0005002501250625312,False,,-0.16,-0.04,2000,rover,-0.35692712664604187,0.454238674014223,0.5950969425935687,12,0.12303752452135086,-0.1999999999999994,0.92,False,False,778,0.611,-0.27293550968170166,0.07712082262210797,0.18379285909419765,-0.3692464530467987,0.42209035180643656,0.48068761105226754,12,0.13602690771222115,-0.11999999999999933,1.0,False,False,878,0.5609999999999999,-0.3400411307811737,0.03302961275626424,0.10625504365168147,13.323263168334961,,2467000064.0,0.43269280374050134,2,OK,0.488677978515625,0.0,0.41762
dec26_mission2_rover1,PLUTO,-0.14,0.0,0.0005002501250625312,False,,-0.14,0.0,2000,rover,-0.26335006952285767,0.5198456809418214,0.5883470708694868,12,0.19763818383216858,-0.13999999999999935,0.9600000000000001,False,False,697,0.6515,-0.19907207787036896,0.07317073170731707,0.21399161880389445,-0.3400157690048218,0.47342310716764613,0.5206542247524245,12,0.10331946238875389,-0.13999999999999935,1.02,False,False,573,0.7135,-0.29642489552497864,0.06457242582897033,0.16421093615800073,13.39885139465332,,2467000064.0,0.25720463216304773,2,OK,0.4893798828125,0.0005002501250625312,0.41762
dec27_mission1_rover1,PLUTO,-0.15,-0.05,0.0005002501250625312,False,,-0.15,-0.05,2000,rover,-0.06183675676584244,0.49988721529169455,0.6053267773946814,12,0.1361005511134863,-0.1999999999999994,0.9600000000000001,False,False,773,0.6134999999999999,-0.012757064774632454,0.0944372574385511,0.21482981764985765,-0.08370316028594971,0.4140113763017851,0.45518611887217236,12,0.3738344609737396,-0.09999999999999931,0.9800000000000001,False,False,750,0.625,-0.09900768846273422,0.034666666666666665,0.19955066050741924,13.3538818359375,,2467000064.0,0.23085833489894864,2,OK,0.4873046875,0.0,0.41762
dec27_mission2_rover1,PLUTO,-0.13,-0.01,0.0005002501250625312,False,,-0.13,-0.01,2000,rover,-0.03632980212569237,0.4668568528719827,0.5468949723002673,12,0.065412238240242,-0.13999999999999935,0.9800000000000001,False,False,637,0.6815,0.05143702030181885,0.058084772370486655,0.2260579498490503,-0.018173666670918465,0.4195280490518708,0.4679651842952652,12,0.09745821729302406,-0.11999999999999933,1.02,False,False,869,0.5655,-0.01597447320818901,0.03567318757192175,0.17247982400945344,13.218548774719238,,2467000064.0,0.2761853927373885,2,OK,0.4859619140625,0.0,0.41762
dec28_mission4_rover1,PLUTO,-0.12,0.02,0.0005002501250625312,False,,-0.12,0.02,2000,rover,0.08220189809799194,0.4799999648332583,0.514253816107359,12,0.16191565245389938,-0.09999999999999931,0.9600000000000001,False,False,632,0.6839999999999999,0.09327252209186554,0.05221518987341772,0.2025867043883781,0.1158004030585289,0.4375335135566526,0.5091841439599734,12,0.4141904413700104,-0.13999999999999935,1.0,False,False,795,0.6025,0.05641847848892212,0.04905660377358491,0.2048647434340959,13.424135208129883,,2467000064.0,0.44714800775051117,2,OK,0.4864501953125,0.0,0.41762
dec31_mission1_rover1,PLUTO,-0.18,-0.02,0.0005002501250625312,False,,-0.18,-0.02,2000,rover,-0.1415853649377823,0.4603146369506376,0.5761730129424674,4,0.1274440810084343,-0.1999999999999994,0.9600000000000001,False,False,217,0.8915,-0.14936862885951996,0.06451612903225806,0.2080772959662361,0.17703233659267426,0.5161611197396003,0.600882182677295,12,0.2772572860121727,-0.15999999999999936,1.02,False,False,1062,0.469,0.10548132658004761,0.07532956685499058,0.17431474181551435,13.043594360351562,,2467000064.0,0.5669790303707122,2,OK,0.483642578125,0.0010005002501250625,0.41762
feb12_mission1_rover1,PLUTO,-0.19,0.15,0.0,False,,-0.19,0.15,3000,rover,-0.41653376817703247,0.9799902002662056,1.0336391632183688,6,0.3555848151445389,-0.03999999999999926,0.9,True,False,2082,0.30600000000000005,-0.9633114337921143,0.24975984630163303,0.4181425427866047,0.6502880454063416,1.2300208351262452,1.4449157170197753,6,1.0123266875743866,-0.3399999999999995,1.1,True,False,1886,0.3713333333333333,-1.0151739120483398,0.4618239660657476,0.5772612078592161,31.627201080322266,FLAG:r0_noisy;FLAG:r1_noisy;FLAG:fit_at_bound,5865999872.0,2.081380763053894,2,FLAG,0.4864501953125,0.00033344448149383126,0.99302
feb12_mission1_rover3,PLUTO,-0.34,0.0,0.00033344448149383126,False,,-0.34,0.0,3000,rover,-1.3901921510696411,0.5395208704325899,1.3046583526462077,9,0.13196393102407455,-0.3399999999999995,0.9600000000000001,False,False,830,0.7233333333333334,-0.47398319840431213,0.4855421686746988,0.3369863723911141,1.0413132905960083,0.5122686154532925,1.3112866378916765,11,0.011127974838018417,-0.3399999999999995,1.02,False,False,1004,0.6653333333333333,0.07920622825622559,0.5199203187250996,0.30285532603486015,12.80935287475586,FLAG:heading=-0.34,5865999872.0,0.13259291708469387,2,FLAG,0.4915771484375,0.0,0.99302
rover_2025_02_22_14_39_50_nRX2_diamond_spacing0p043_tag_RO1.rover_2025_02_22_14_39_34_nRX1_circle_spacing0p05075_tag_RO2,PLUTO,0.09,-0.05,0.00033344448149383126,False,,0.09,-0.05,3000,rover,-0.2971680164337158,0.8609281203629614,0.9390496480002012,7,0.12521598860621452,0.04000000000000081,0.9,True,False,2142,0.28600000000000003,0.11980218440294266,0.19934640522875818,0.5053497655796547,-0.2637249827384949,1.067093624158216,1.1072167369697938,7,0.48680150508880615,0.1400000000000009,0.9600000000000001,False,False,1741,0.41966666666666663,-0.7390891909599304,0.3273980470993682,0.3099482161883562,30.080127716064453,FLAG:r0_noisy;FLAG:r1_noisy;FLAG:fit_at_bound,0.0,2.1989736700057985,2,FLAG,0.48828125,0.0,0.84138
rover_2025_02_22_14_40_12_nRX2_center_spacing0p035_tag_RO3.rover_2025_02_22_14_39_34_nRX1_circle_spacing0p05075_tag_RO2,PLUTO,0.1,0.0,0.00033344448149383126,False,,0.1,0.0,3000,rover,-0.40702712535858154,0.42901956489271864,0.523898761262283,5,0.26620034128427505,0.10000000000000087,1.04,False,False,217,0.9276666666666666,-0.5349035859107971,0.055299539170506916,0.17394732657521883,0.10278139263391495,0.3768842762743326,0.5019448127503631,11,0.2420957311987877,0.10000000000000087,1.06,False,False,411,0.863,0.13220134377479553,0.0364963503649635,0.27154051747214963,12.89976692199707,QUAR:no_signal,5865999872.0,0.1382069072127342,2,QUARANTINE,0.4862060546875,0.0,0.68484
rover_2025_02_22_15_10_50_nRX2_center_spacing0p035_tag_RO3.rover_2025_02_22_15_14_49_nRX1_circle_spacing0p05075_tag_RO2,PLUTO,-0.04,0.02,0.00033344448149383126,False,,-0.04,0.02,3000,rover,-0.5325181484222412,0.36900171562638534,0.4226356113492842,8,0.14513711631298065,-0.01999999999999924,1.06,False,False,260,0.9133333333333333,-0.5277284383773804,0.023076923076923078,0.15325736303674295,-0.07199817150831223,0.3340306500952229,0.37572341918074653,10,0.15794221311807632,-0.059999999999999276,1.02,False,False,301,0.8996666666666666,-0.020061897113919258,0.016611295681063124,0.18445230555249817,13.624008178710938,QUAR:no_signal,5865999872.0,0.12470587164163588,2,QUARANTINE,0.49371337890625,0.0,0.68484
rover_2025_02_22_15_11_03_nRX2_diamond_spacing0p043_tag_RO1.rover_2025_02_22_15_14_49_nRX1_circle_spacing0p05075_tag_RO2,PLUTO,0.12,-0.14,0.00033344448149383126,False,,0.12,-0.14,3000,rover,-0.3199688792228699,0.8894734215713727,0.9375356031651003,7,0.1708388328552246,-0.01999999999999924,0.9,True,False,2009,0.33033333333333337,0.1084200069308281,0.23593827775012444,0.3148108774090739,-0.22420841455459595,1.034905860415862,1.1027492326255106,6,0.44942277669906616,0.260000000000001,1.0,False,False,1380,0.54,-1.2015920877456665,0.3036231884057971,0.22432582958082267,28.967870712280273,FLAG:r0_noisy;FLAG:r1_noisy;FLAG:fit_at_bound,5865999872.0,2.104659276008606,2,FLAG,0.4891357421875,0.00033344448149383126,0.84138
rover_2025_02_23_23_14_18_nRX2_diamond_spacing0p043_tag_RO1.rover_2025_02_23_23_13_54_nRX1_circle_spacing0p05075_tag_RO2,PLUTO,0.0,0.0,0.000333555703802535,False,,0.0,0.0,2999,rover,-0.02054867334663868,0.4449092310581652,0.4449092310581652,3,0.5749554336071014,0.0,1.0,False,True,1039,0.6535511837279093,-0.02054867334663868,0.02021174205967276,nan,-0.8425881862640381,0.745358849129926,0.745358849129926,3,0.48339205980300903,0.0,1.0,False,True,1187,0.6042014004668222,-0.8425881862640381,0.12468407750631845,nan,37.17587661743164,FLAG:r1_noisy;INFO:low_coverage,5865999872.0,1.849817987680439,2,FLAG,0.4967041015625,0.0,0.91964
rover_2025_02_23_23_46_11_nRX2_diamond_spacing0p043_tag_RO1.rover_2025_02_23_23_45_29_nRX1_circle_spacing0p05075_tag_RO2,PLUTO,0.12,-0.02,0.0008077544426494346,False,,0.12,-0.02,1239,rover,0.31598523259162903,0.672323542953261,0.8507187539258185,6,0.26245783641934395,0.10000000000000087,0.9,True,False,540,0.5641646489104116,0.6153494119644165,0.24259259259259258,0.5224344692544568,-0.4697805345058441,0.8415932464365802,0.8733229915234675,6,0.5440852344036102,0.1400000000000009,1.04,False,False,722,0.41727199354318,-1.0193984508514404,0.203601108033241,0.317712151880434,40.57438278198242,FLAG:r1_noisy;FLAG:fit_at_bound,5865999872.0,2.086604945659613,2,FLAG,0.496368408203125,0.0,0.91964
rover_2025_02_23_23_53_30_nRX2_center_spacing0p043_tag_RO3.rover_2025_02_23_23_45_29_nRX1_circle_spacing0p05075_tag_RO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AssertionError: Too many mismatches in rx_spacing 3000.0 (persistent),,,,ERROR,,,
rover_2025_03_02_22_20_28_nRX2_center_spacing0p043_tag_RO3.rover_2025_03_02_22_19_58_nRX1_circle_spacing0p05075_tag_RO2,PLUTO,0.17,0.03,0.0,False,,0.17,0.03,3000,rover,-0.4121839106082916,0.5417743691938575,0.893106583765118,7,0.31792961806058884,0.20000000000000095,0.9600000000000001,False,False,265,0.9116666666666666,-0.6042735576629639,0.29056603773584905,0.05934731200736491,0.05636564642190933,0.48206026988414385,0.6840771954710637,9,0.0994817316532135,0.1400000000000009,0.9600000000000001,False,False,293,0.9023333333333333,-0.04654385894536972,0.13993174061433447,0.20655763476297018,14.10600471496582,QUAR:no_signal,5865999872.0,0.3048916149139404,2,QUARANTINE,0.4931640625,0.0,0.84138
jan17_mission1_rover1,PLUTO,0.0,-0.02,0.00033344448149383126,False,,0.0,-0.02,3000,rover,-0.1742192655801773,0.458396665214555,0.46656378508874374,12,0.2366974651813507,-0.01999999999999924,0.9600000000000001,False,False,1539,0.487,-0.19722242653369904,0.037686809616634176,0.26087675126656235,-0.2088060826063156,0.4122919880308518,0.41595664524121895,12,0.06682335585355759,0.020000000000000795,1.02,False,False,1586,0.4713333333333334,-0.2109290212392807,0.025220680958385876,0.12954510924809556,13.33275032043457,,2467099904.0,0.30333122551441194,2,OK,0.487945556640625,0.0,0.41764
jan17_mission2_rover1,PLUTO,0.04,-0.02,0.00033344448149383126,False,,0.04,-0.02,3000,rover,-0.1936287134885788,0.5667874861924834,0.5748389391686136,12,0.1256861686706543,0.020000000000000795,0.9400000000000001,False,False,1662,0.44599999999999995,-0.22076153755187988,0.05776173285198556,0.3461075815131703,-0.31206652522087097,0.4851385527990423,0.5166315888474562,12,0.06806159298866987,0.06000000000000083,1.08,False,False,1734,0.42200000000000004,-0.2784048020839691,0.04267589388696655,0.1323354010872575,13.27133846282959,,2467099904.0,0.42716972768306727,2,OK,0.48626708984375,0.0020006668889629878,0.41764
jan30_mission1_rover1,PLUTO,-0.22,0.36,0.00033344448149383126,False,,-0.22,0.36,3000,rover,-0.06661014258861542,1.7526264916670673,1.788669193130019,5,0.4296520873904228,0.1400000000000009,1.1,True,False,371,0.8763333333333333,0.10412771999835968,0.33153638814016173,0.2659597352216586,-0.29893171787261963,1.778348332812265,1.813232471183056,6,0.4357348755002022,-0.5799999999999997,0.92,False,False,693,0.769,-1.3991765975952148,0.3953823953823954,0.5364437576674117,29.72518539428711,FLAG:r0_noisy;FLAG:r1_noisy;FLAG:fit_at_bound,2467099904.0,2.114343800544739,2,FLAG,0.489013671875,0.0,0.41764
jan30_mission1_rover3,PLUTO,-0.29,0.01,0.00033344448149383126,False,,-0.29,0.01,3000,rover,-0.34851810336112976,0.4405074124995326,0.6866608613734843,12,0.029655602760612965,-0.27999999999999947,0.9600000000000001,False,False,1486,0.5046666666666666,-0.25546297430992126,0.1695827725437416,0.21159861998311558,-0.17817582190036774,0.5012843801832187,0.8432629203677382,12,0.11599775264039636,-0.2999999999999995,1.1,True,False,1694,0.43533333333333335,-0.032001957297325134,0.28630460448642264,0.31334885272777907,13.51487922668457,FLAG:heading=-0.29;FLAG:fit_at_bound,2467099904.0,0.1257761251926422,2,FLAG,0.480712890625,0.00033344448149383126,0.41764
feb9_mission1_rover1,PLUTO,-0.23,-0.23,0.00033344448149383126,False,,-0.23,-0.23,3000,rover,-0.586604118347168,0.9476680569333847,1.1748767808465808,4,0.4365428760647774,-0.45999999999999963,0.9,True,False,162,0.946,-1.0085750818252563,0.18518518518518517,0.639697137296599,0.3771759867668152,1.292816521940552,1.292816521940552,3,0.2677331864833832,0.0,1.0,False,True,138,0.954,0.3771759867668152,0.2608695652173913,nan,29.320266723632812,QUAR:no_signal;FLAG:r0_noisy;FLAG:r1_noisy;FLAG:fit_at_bound;INFO:low_coverage,2467099904.0,1.9514705991744994,2,QUARANTINE,0.4779052734375,0.00033344448149383126,0.41764
feb9_mission1_rover3,PLUTO,-0.33,0.01,0.00039308176100628933,False,,-0.33,0.01,2545,rover,-0.3388380706310272,0.3928015533354398,0.7605042777257791,11,0.05762450397014618,-0.3199999999999995,1.1,True,False,908,0.6432220039292731,-0.15348680317401886,0.18061674008810572,0.19835270519323167,-0.18170565366744995,0.4874367391671099,0.9115090855591873,11,0.06501754280179739,-0.3399999999999995,1.1,True,False,931,0.6341846758349705,-0.08768879622220993,0.2771213748657358,0.23449585417928037,13.447005271911621,FLAG:heading=-0.33;FLAG:fit_at_bound,2467099904.0,0.11867376394569898,2,FLAG,0.481292724609375,0.0,0.41764
feb9_mission2_rover1,PLUTO,-0.07,-0.07,0.00033344448149383126,False,,-0.07,-0.07,3000,rover,-0.0583406463265419,0.9338582514120203,0.9764130134610763,4,0.400961734354496,-0.13999999999999935,0.9,True,False,150,0.95,-0.2694006860256195,0.23333333333333334,0.2781986825349049,0.37266796827316284,1.110265777145945,1.110265777145945,3,0.8600996509194374,0.0,1.0,False,True,148,0.9506666666666667,0.37266796827316284,0.19594594594594594,nan,29.721153259277344,QUAR:no_signal;FLAG:r0_noisy;FLAG:r1_noisy;FLAG:fit_at_bound;INFO:low_coverage,0.0,1.8677215790748594,2,QUARANTINE,0.4869384765625,0.0,0.41764
feb9_mission2_rover3,PLUTO,-0.18,0.0,0.00033344448149383126,False,,-0.18,0.0,3000,rover,-0.2583710849285126,0.45265322822823656,0.6298649038681728,10,0.07597076892852783,-0.17999999999999938,1.1,True,False,1006,0.6646666666666667,-0.18498419225215912,0.11928429423459244,0.186285315064084,-0.11124676465988159,0.4410663747856469,0.6364399820440632,11,0.11391641944646835,-0.17999999999999938,1.1,True,False,1284,0.5720000000000001,0.03349541127681732,0.102803738317757,0.2720660217742783,13.249452590942383,FLAG:fit_at_bound,0.0,0.10648424997925757,2,FLAG,0.4857635498046875,0.0,0.41764
rover_2025_02_22_15_44_37_nRX2_center_spacing0p035_tag_RO3.rover_2025_02_22_15_47_26_nRX1_circle_spacing0p05075_tag_RO2,PLUTO,0.23,0.01,0.00033344448149383126,False,,0.23,0.01,3000,rover,-0.5078868269920349,0.43863900962540026,0.8049531886901955,6,0.15683931857347488,0.240000000000001,1.02,False,False,236,0.9213333333333333,-0.5753416419029236,0.211864406779661,0.22142379586458769,0.05800135061144829,0.39565521130908693,0.8687009578007928,9,0.18791288882493973,0.22000000000000097,1.04,False,False,259,0.9136666666666666,0.04916812479496002,0.23552123552123552,0.17900431756499147,13.325597763061523,QUAR:no_signal,0.0,0.1254689130187034,2,QUARANTINE,0.49224853515625,0.0,0.68484
