key,device,d_lambda,n_datasets,spatially_aliased,max_theoretical_bearing_solutions,repo_sign_wins,nominal_kappa,nominal_phase_sigma_deg,opposite_sign_kappa,cal_kappa,cal_phase_sigma_deg,cal_effective_spacing_gain,cal_effective_d_lambda,cal_theta_shift_deg,cal_phase_offset_deg,cal_fit_status,uniform_nosym_tv,nominal_nosym_tv,nominal_nosym_js_nats,nominal_nosym_corr,opposite_nosym_tv,opposite_nosym_js_nats,cal_nosym_tv,cal_nosym_js_nats,cal_nosym_corr,cal_nosym_map_agreement,cal_nosym_empirical_mass_at_map,cal_tv_skill_vs_uniform,nominal_sym_tv,nominal_sym_js_nats,nominal_sym_corr,cal_sym_tv,cal_sym_js_nats,cal_sym_corr,cal_sym_map_agreement,nosym_nonempty_phi_rows,sym_nonempty_phi_rows,fit_objective_nominal,fit_objective_calibrated,fit_objective_opposite_sign,physical_spacing_mm,rx_lo_hz,rx_lo_ghz,band,provenance_n_datasets,device_name,device_band,rho_regime
SDRDEVICE.BLADERF2_0.20548,BLADERF2,0.20548,16,False,2,True,1.724008199,53.48285756,0.006737987311,5.820164745,24.9604973,1.841789683,0.3784509441,0.5936035274,54.95362932,ok,0.681095899,0.598400539,0.2757207535,0.2423771692,0.6814189479,0.3296642568,0.226910974,0.05035857077,0.79269619,0.1538461538,0.09393134963,0.6668443103,0.3548720711,0.1024861698,0.4261616173,0.1949375067,0.0368023386,0.7326989312,0.4769230769,65,65,0.2757207535,0.05035857077,0.3296642568,25.0,2464000000.0,2.464,2.4 GHz,16,bladeRF,"bladeRF, 2.4 GHz",<0.25
SDRDEVICE.BLADERF2_0.47259,BLADERF2,0.47259,8,False,2,True,1.920828388,49.90382897,0.0440469162,7.387500032,21.88941388,1.048482985,0.4955025737,1.019253227,46.20743475,ok,0.7343138147,0.6232423347,0.2967570586,0.2860223042,0.7341692703,0.3887263291,0.2940260366,0.08715768446,0.6632686615,0.1692307692,0.09993039145,0.5995907598,0.366568561,0.1128090658,0.4512980277,0.248410407,0.06314600751,0.6020064735,0.2769230769,65,65,0.2967570586,0.08715768446,0.3887263291,58.0,2464000000.0,2.464,2.4 GHz,8,bladeRF,"bladeRF, 2.4 GHz",0.25–0.50
SDRDEVICE.BLADERF2_0.48083,BLADERF2,0.48083,22,False,2,True,1.883767346,50.53754218,0.6237837428,4.953425019,27.3538169,1.400140285,0.6732294532,2.888281384,32.54448468,ok,0.6920930402,0.5664054952,0.2463518453,0.4252513557,0.6770823603,0.3196579654,0.2470741508,0.05625240051,0.8677499087,0.1076923077,0.09498735509,0.643004428,0.3381668113,0.1188998778,0.6596763452,0.1473480824,0.02240076851,0.9198750806,0.1846153846,65,65,0.2463518453,0.05625240051,0.3196579654,25.0,5766000000.0,5.766,5.8 GHz,22,bladeRF,"bladeRF, 5.8 GHz",0.25–0.50
SDRDEVICE.BLADERF2_0.48400,BLADERF2,0.484,29,False,2,True,2.110261089,46.9243385,0.653591854,5.641104847,25.4020882,1.373710511,0.6648758871,3.278875675,33.30473709,ok,0.7000691479,0.5628490273,0.2546662355,0.4391671611,0.6848826196,0.3381949931,0.1892121506,0.03666869623,0.9196664684,0.2307692308,0.1044153972,0.7297236264,0.3315692675,0.119256589,0.6784791766,0.1206287859,0.01601641055,0.9492696813,0.2923076923,65,65,0.2546662355,0.03666869623,0.3381949931,25.0,5804000000.0,5.804,5.8 GHz,29,bladeRF,"bladeRF, 5.8 GHz",0.25–0.50
SDRDEVICE.BLADERF2_0.48684,BLADERF2,0.48684,12,False,2,True,1.845723754,51.20675115,0.6339880615,4.812655921,27.81386403,1.334110661,0.6494984343,3.761531474,36.73634564,ok,0.6856811453,0.5594069936,0.2545244781,0.3522138796,0.6699956611,0.3298078953,0.2445806891,0.05854331935,0.7747797419,0.07692307692,0.08397629334,0.6433025894,0.3474073631,0.1139805222,0.5310715747,0.1663523976,0.03330345797,0.740858029,0.1538461538,65,65,0.2545244781,0.05854331935,0.3298078953,25.0,5838000000.0,5.838,5.8 GHz,12,bladeRF,"bladeRF, 5.8 GHz",0.25–0.50
SDRDEVICE.BLADERF2_0.49314,BLADERF2,0.49314,8,False,2,True,1.868843735,50.79776431,0.1886023261,5.896674161,24.77887407,1.05115794,0.5183680268,2.712237548,46.49329038,ok,0.6927723561,0.5839183478,0.2600371342,0.3408414632,0.6913221161,0.351102159,0.2768003287,0.07079663008,0.7750885309,0.1692307692,0.09367811869,0.6004454763,0.2994191331,0.07595709256,0.5999046907,0.2012632335,0.03736189346,0.7823166063,0.2923076923,65,65,0.2600371342,0.07079663008,0.351102159,60.0,2464000000.0,2.464,2.4 GHz,8,bladeRF,"bladeRF, 2.4 GHz",0.25–0.50
SDRDEVICE.BLADERF2_0.51369,BLADERF2,0.51369,9,True,4,True,1.869878112,50.77963315,0.1940713711,5.744696159,25.14371844,1.010801124,0.5192384292,1.927123275,45.58150925,ok,0.6792036018,0.5633488184,0.2475418233,0.3765346054,0.67648431,0.3398249186,0.2561816571,0.06508554123,0.8239090205,0.1692307692,0.1004751803,0.6228205262,0.26900291,0.06141647604,0.690908429,0.1888299989,0.03096563981,0.8610946252,0.1692307692,65,65,0.2475418233,0.06508554123,0.3398249186,62.0,2464000000.0,2.464,2.4 GHz,9,bladeRF,"bladeRF, 2.4 GHz",0.50–1.00
SDRDEVICE.BLADERF2_0.53424,BLADERF2,0.53424,22,True,4,True,1.858574515,50.97854068,0.2559744061,5.562694209,25.60318301,1.006855247,0.5379023469,1.9578746,46.87152777,ok,0.6825339946,0.5585952872,0.2436618447,0.3788363161,0.6786605812,0.3363812729,0.2319273732,0.04873626841,0.8714559428,0.1692307692,0.09342999195,0.6601965982,0.272059075,0.06030763231,0.6703639546,0.1577647659,0.02419689451,0.8953587082,0.2,65,65,0.2436618447,0.04873626841,0.3363812729,65.0,2464000000.0,2.464,2.4 GHz,22,bladeRF,"bladeRF, 2.4 GHz",0.50–1.00
SDRDEVICE.BLADERF2_0.55478,BLADERF2,0.55478,28,True,4,True,1.802323192,51.99415933,0.2506665951,5.659974943,25.35441495,0.9741238436,0.5404244259,2.715252139,47.51707462,ok,0.6739708307,0.5591732642,0.2421096577,0.3628366684,0.6700586388,0.3302852707,0.2223135767,0.0440086041,0.8858867827,0.1846153846,0.1023838479,0.6701436225,0.2764048925,0.06186177014,0.6520446111,0.154160568,0.02221474295,0.8972073364,0.2,65,65,0.2421096577,0.0440086041,0.3302852707,68.0,2464000000.0,2.464,2.4 GHz,28,bladeRF,"bladeRF, 2.4 GHz",0.50–1.00
SDRDEVICE.BLADERF2_0.57533,BLADERF2,0.57533,18,True,4,True,1.836944815,51.3639358,0.2162109979,5.837234726,24.91962109,0.9828568642,0.5654670397,2.291937526,48.87075358,ok,0.6855320304,0.5670380255,0.2535339199,0.3488190668,0.682380262,0.3431604105,0.2075880702,0.04032191525,0.8888087356,0.1384615385,0.1126374694,0.6971869132,0.2893006675,0.06791730495,0.6214845463,0.1674006446,0.02478675614,0.8765425912,0.1538461538,65,65,0.2535339199,0.04032191525,0.3431604105,70.0,2464000000.0,2.464,2.4 GHz,18,bladeRF,"bladeRF, 2.4 GHz",0.50–1.00
