key,device,d_lambda,radio,symmetry,parameters_fitted_to,nominal_mean_row_tv,nominal_mean_row_js_nats,nominal_flattened_corr,cal_mean_row_tv,cal_mean_row_js_nats,cal_flattened_corr,cal_map_bin_agreement,nonempty_phi_rows
SDRDEVICE.PLUTO_0.21715,PLUTO,0.21715,r0,nosym,r/nosym,0.3464822664,0.09296722095,0.480317081,0.3377841082,0.08613701988,0.5326913993,0.03076923077,65
SDRDEVICE.PLUTO_0.21715,PLUTO,0.21715,r0,sym,r/nosym,0.1620565066,0.02120334054,0.8107414233,0.1485528792,0.01880341703,0.8320535186,0.3384615385,65
SDRDEVICE.PLUTO_0.21715,PLUTO,0.21715,r1,nosym,r/nosym,0.3837635644,0.1160462709,0.4453727917,0.3471674467,0.09960786684,0.5828025308,0.03076923077,65
SDRDEVICE.PLUTO_0.21715,PLUTO,0.21715,r1,sym,r/nosym,0.2385998619,0.04405605343,0.6513702059,0.1908501024,0.03134915011,0.7984849166,0.04615384615,65
SDRDEVICE.PLUTO_0.22891,PLUTO,0.22891,r,nosym,r/nosym,0.2458748677,0.04806848499,0.5856711566,0.239727089,0.04376967315,0.623037503,0,65
SDRDEVICE.PLUTO_0.22891,PLUTO,0.22891,r,sym,r/nosym,0.1143527012,0.01050637817,0.8508697161,0.1115663712,0.009989735436,0.8597646456,0.04615384615,65
SDRDEVICE.PLUTO_0.22891,PLUTO,0.22891,r0,nosym,r/nosym,0.3319999985,0.08195066127,0.4696789969,0.3449199178,0.08933108844,0.397211947,0,65
SDRDEVICE.PLUTO_0.22891,PLUTO,0.22891,r0,sym,r/nosym,0.1664674346,0.02275355185,0.7749127893,0.1725984195,0.02444070847,0.7553510854,0,65
SDRDEVICE.PLUTO_0.22891,PLUTO,0.22891,r1,nosym,r/nosym,0.3768597685,0.109023617,0.3674288879,0.3491690657,0.09336723402,0.4905357258,0.01538461538,65
SDRDEVICE.PLUTO_0.22891,PLUTO,0.22891,r1,sym,r/nosym,0.237255269,0.04096149818,0.5413539316,0.2273798697,0.03787380822,0.5799215513,0,65
SDRDEVICE.PLUTO_0.28159,PLUTO,0.28159,r,nosym,r/nosym,0.4192118997,0.1381044408,0.5313017706,0.2200400393,0.04143831893,0.8645304751,0.1538461538,65
SDRDEVICE.PLUTO_0.28159,PLUTO,0.28159,r,sym,r/nosym,0.327819654,0.09397485746,0.63518112,0.1091457434,0.01207674697,0.9644555623,0.4153846154,65
SDRDEVICE.PLUTO_0.28159,PLUTO,0.28159,r0,nosym,r/nosym,0.4714706882,0.1635707838,0.4867357871,0.2679650474,0.06077347051,0.8290532691,0.2153846154,65
SDRDEVICE.PLUTO_0.28159,PLUTO,0.28159,r0,sym,r/nosym,0.3319921774,0.09192696338,0.6570110871,0.1053073174,0.01316288172,0.9706881002,0.4461538462,65
SDRDEVICE.PLUTO_0.28159,PLUTO,0.28159,r1,nosym,r/nosym,0.5165985802,0.1968864229,0.3866958746,0.3676211282,0.1047651136,0.6720377146,0.07692307692,65
